Europejska Wspólnota Węgla i Stali			
w XVI	16		
tak			
alibi			
Niva			
z Azji			
lampasy			
King Kong			
stopień			
Gabriel García Márquez	Márquez		
nie			
„Trzej muszkieterowie”			
Patroklos			
cuma			
Lucjan Trela			
w XV	15		
Szymon Cyrenejczyk	Szymon z Cyreny		
„Romantyczność”			
kondor			
Wiesław Myśliwski			
nie			
chleb i ryby	ryby i chleb		
Georgi Dymitrow	Georgi Dimitrow Michajłow		
dęty blaszany			
przez Peru	Peru		
ekstradycja			
Quentin Tarantino			
kilogram			
sekstant			
burta			
cztery	4		
nowelizacja			
Kabaret Tey	Tey		
z IX	9		
pole kwadratu			
Chiny			
Danii			
Wacław Szymanowski			
tak			
Zgromadzenie Narodowe			
Boliwii i Peru	Peru i Boliwii		
w Saint Tropez			
bojer			
trzech	3		
katolickiego			
tektonika			
przeciwko państwu krzyżackiemu	przeciw Krzyżakom	państwo krzyżackie	
Gerlach			
telegazeta			
tak			
palców			
Pierre de Coubertin			
renifer			
z miliona			
sześć	6		
konno			
gazem			
Hera			
nie			
atropina			
z kóz			
folwark			
Elżbieta			
wierszem			
muchomory			
Bolesław I Chrobry			
borowina			
paserstwo			
czambuły			
przednie			
40 km/h			
z Portugalii			
Mario Puzo			
trzęsienia ziemi			
Artura Rubinsteina			
szpada			
generał Franciszek Kleeberg	Kleeberg		
gondola			
tymczasowe aresztowanie			
Nowej Zelandii			
trzech	3		
nie			
Tadeusz Kantor			
nie			
Nautilus			
palną			
Ajschylos			
tak			
Empire State Building			
nad Nilem			
Edward Gierek			
Ludwig van Beethoven	Beethoven		
zbrodnia w afekcie			
jeden	1		
linie papilarne			
iglastych			
dzięcielina			
Renata Mauer-Różańska	Mauer		
Władysław I Herman			
Nowy Jork			
w województwie kujawsko-pomorskim	w kujawsko-pomorskim		
bieg na 100 m przez płotki	100 m ppł		
urna			
Margaret Thatcher			
Kurpie			
wielbłądowatych			
w V p.n.e.			
w Kopenhadze			
białym			
w Chinach			
arsonfobia			
tak			
siedemdziesiątych			
w Madrycie	Madryt		
stachanowiec			
Pilica			
Pietro Mennea			
iglaste			
w kosmetycznej			
dwa	2		
tak			
zakończeniem			
z czterech	4		
w Waszyngtonie			
batalion			
w XVIII	18		
w Kalifornii			
obniżonej			
w XXI	21		
w Tulonie			
Władysław			
w 1943			
Warszawski Indeks Giełdowy	WIG		
Ryszard Bugajski			
w Szwecji			
z Burbonów			
w XIX	19		
Jacek Wszoła			
marka polska			
Francis Scott Fitzgerald			
cyprys			
nie			
wschód słońca	wschód		
na wierzbie			
wysokiej			
po II wojnie światowej	po II wojnie	po drugiej	2
aureola			
nie			
był premierem	premiera		
okrętem podwodnym			
pobożne			
Rzym			
dziewięć	9		
miecz			
w Warszawie			
w 1949			
Ignacy Krasicki	Krasicki		
rybołóstwem			
jaszcz			
w 1848			
elektroda			
osocze			
na pięciu	pięć	5	
tak			
„Sezamie, otwórz się”			
tak			
różą			
Piotr Czajkowski			
Dmitrij Mendelejew			
Maksymilian Kolbe			
na uczelniach wyższych			
Zrzeszenie Wolność i Niezawisłość			
w 1966			
dłużej	dłużej niż ziemska		
Tunis			
w XVIII	18		
tak			
dwa	2		
eufemizm			
na saksofonie			
roślin			
Legia Honorowa			
Edmund Hillary	Hillary		
z ZSRR			
Jan II Kazimierz Waza			
mrówki			
Wilhelm Tell			
na saksofonie			
głowę			
„The Rolling Stones”			
gazem			
tak			
pomniejszony			
baht			
Sława Przybylska			
Rio de Janeiro	Rio		
glinu			
kangurzątko	kangur		
we Francji			
Bliskiego Wschodu			
dwa	2		
trzech	3		
Liga Ochrony Przyrody			
Piotr			
Madonna			
azotany			
francuskiej			
na Cmentarzu Powązkowskim w Warszawie	na Powązkach		
w zapasach			
jaskra			
republiką			
Chaim Weizmann			
karma			
Aleksander II Romanow			
Józef Kraszewski			
Szczyrk			
Isaac Newton	Newton		
Hanka Ordonówna			
Zygmunt II August			
w Tatrach	Tatry		
Paweł Jasienica			
w 1983			
nacjonalizacja			
w Trójporozumieniu			
na skrzypcach	skrzypce		
nie			
tak			
tak			
orła			
Słowacji i Ukrainy	Ukrainy i Słowacji		
transplantacji serca	przeszczepu serca		
László Papp	Papp		
Cesarstwa Rzymskiego	Rzymu		
tombak			
po grecku			
w Krakowie			
nie			
ze Szwajcarii			
tak			
dziesięć	10		
Cricot 2			
baktrian			
Wojciech Smarzowski			
Steven Spielberg			
z Burbonów			
11 września 2001	11.09.2001		
Fidiasz			
morska			
w Krakowie			
odrodzenie			
w 1917			
Rzymu			
dwa różne państwa			
Wenezueli			
„Pokolenie”			
nie			
Wiedeń			
z Kolumbii			
fryzjer			
toga			
katamaran			
graptolity			
witaminy C	C		
Loch Ness	Ness		
„Mazowsze”			
osy			
milion	1000000		
major			
czysty nonsens			
Sudanu			
na Haiti			
w Katedrze Wawelskiej	na Wawelu	0	
w Azji	Azja		
dwie	2		
Australia			
na Florydzie	Floryda		
w Persepolis			
tak			
nandu			
gambit			
oset			
vacatio legis			
„Skąpiec”			
w XX	20		
etnografia			
w 1940			
jezuici	Towarzystwo Jezusowe		
IX	9		
z motyką			
architektury			
Eskulap			
do japońskiej			
w grudniu			
Zjednoczonych Emiratów Arabskich	ZEA		
scholastyka			
menora	siedmioramienny świecznik		
tak			
Hiszpanii i Francji	Francji i Hiszpanii		
głazy narzutowe			
skok śmierci			
smog			
z czterech	4		
tangensoida			
negro spirituals			
Trójprzymierze			
był Argentyńczykiem			
kuroniówka			
kryminalistyka			
krepina			
Dyndalski			
w XIX	19		
po pierwsze nie szkodzić			
motorowerem			
rektyfikacji			
tak			
Paul Anka			
ploter			
ołowiu	ołów		
„Moralność pani Dulskiej”			
z drewna			
nie			
protagonista			
kankan			
trzech	3		
z trzech	3		
sześć	6		
Andy			
hemofilia			
w Hadze			
melanina			
czerwonego			
ludźmi			
Panteon Narodowy			
Światowej Organizacji Zdrowia			
polisa			
Max Planck			
nie			
net			
Moskwy			
Narodowy Bank Polski			
kapelan			
Danii			
nie			
jasiek			
do Odry			
w Hiszpanii			
z Wisły			
Louis Armstrong			
radiowe			
recepta			
The House of the Rising Sun			
św. Elżbieta			
z Rosji			
wypił cykutę	popełnił samobójstwo		
Stefan Bratkowski			
w Finlandii			
Dar Młodzieży			
Manhattan	Manhattan Engineer District		
jeden	1		
hospicjum			
Sztokholm			
w styczniu	styczeń		
w 1982			
Meksyku	Hiszpanii		
Ocean Indyjski	Indyjski		
na czerwony			
z niemieckiego			
Jerzy Radziwiłowicz			
na trąbce			
z Węgrami	Węgry		
tak			
był kotem			
dwieście dwanaście	212		
Vasco da Gama			
w noc świętojańską			
Jan Paweł I			
interpunkcja			
Hiszpania			
polska rasa kur	kur		
pediatria			
nie			
„Sonda”			
Holandia			
akwedukty			
hipoteka			
denominacja			
wodoru			
z łącznika i orzecznika	z orzecznika i łącznika		
empiryzm			
tak			
tenorem			
epoka			
Ajschylos			
trzy	3		
otwarcia Kanału Sueskiego			
nie			
atelier			
„Waszyngton za zamkniętymi drzwiami”			
kalikant			
w podnoszeniu ciężarów			
w dziedzinie literatury	literatura		
cielę	wół		
trzysta	300		
białych turystów	cudzoziemców	białych	
na wiolonczeli			
Akira Kurosawa			
Socjaldemokracji Rzeczpospolitej Polskiej	SdRP		
w VI			
przymiotnik			
w „Jądrze ciemności”			
Paryż			
w Łodzi	Łódź		
Czesław Nowicki			
MiG-17			
Mateusz Kusznierewicz			
przed II wojną światową	przed		
na skrzypcach	skrzypce		
Śniadeccy	Śniadecki		
z flotą Szwecji	Szwecji	ze szwedzką	
za dużo			
w dziewięćdziesiąt	90		
Hipokrates			
w Korei Południowej			
łańcuch pokarmowy			
Kulfon			
w Austrii			
wszystko			
żadna			
ONZ			
Zygmunta Hübnera	Hübnera		
50 Hz	50 herców		
w tylnej części jej ciała	w tylnej		
porucznika			
do Niemiec			
dekalog			
siew			
Mirosław			
z Austriakami	z Austrią		
w Ameryce Południowej	Ameryka Płd.		
z Węgier	Węgry		
w 1945			
Piłat			
barter			
nad Pilicą			
USA	Stany Zjednoczone		
powierzchni	ziemi		
rad			
opornik			
tak			
czerwonego			
dziesięć	10		
tragedia			
Herakles			
męski			
nad Morzem Śródziemnym	Śródziemnym		
datowanie izotopowe			
Jana Karola Chodkiewicza			
trzy	3		
„Familiadę”			
kołchoz			
w islamie			
włoskiej			
ormiańskiej	Ormianin		
we Francji			
na Kremlu			
tak			
patriarchat			
w Gdańsku			
Krakowa			
Jan Kowalczyk			
pika			
serce			
Marszałek Polski			
Dobra Nowina			
Czesław Miłosz			
tygrysy			
czad			
z Gibraltaru			
Józef Bem			
Robert Falcon Scott	Scott		
Półwysep Iberyjski	Iberyjski		
tak			
bosman			
bambus			
Abraham			
w Hiszpanii			
Małgorzata Foremniak			
skandynawskich			
Archimedes			
Glenn Miller			
Ignacy Mościcki			
Fiat			
gladiatorzy			
Niccolò Paganini			
Krzysztof Kieślowski			
Stanisław Mikulski			
Władysław Reymont	Reymont		
trolejbus			
z „Warszawianki”			
Leonid Breżniew			
ropa naftowa			
Skała Tarpejska			
do Grecji			
placebo			
Tarzana			
wszystkie	trzynaście	13	
„Chłopów”	„Chłopi”		
jeden	1		
dekatyzacja			
Nemo			
stetoskop			
w Paryżu			
Horeszków			
Henryk Tomaszewski			
„Wielka Gra”			
Japonii			
w Muzeum Brytyjskim	w British Museum		
stalagnat			
w Azji	Azja		
tygodnik			
niemieckiej	był Niemcem		
James Cook			
Zygmunt III Waza			
Grzegorz Lato	Lato		
Jan Heweliusz			
Turcja			
Kujawy			
Paryża			
na klarnecie			
pięćdziesiąt dwa	52		
nektar			
przez Berezynę			
Mojżeszowi			
z dwóch	z dwu	2	
Hannibal			
nie			
mlekowy			
z Hiszpanii			
Spice Girls			
w Wenecji			
oberżyna			
w 1991			
zarząd			
nad jeziorem Michigan	Michigan		
gilotyna			
w Polsce			
wytrawne			
od 1890			
Stany Zjednoczone Meksyku	Meksyku		
tak			
do Romea i Julii	Romeo i Julia		
biathlon			
Achillesowi			
„Żeby Polska była Polską”			
Wilhelm Canaris	Canaris		
sześcianem			
wirydarz			
dwunastu	12		
Mount Everestu			
na płotek			
Damaszek			
manko	niedobór		
Łunochod			
Wielka Orkiestra Świątecznej Pomocy	WOŚP		
Michał			
proton			
klinowym			
kościelna			
pięćset	500		
Ukraińska Powstańcza Armia			
trzy	3		
kastaniety			
przeciwnik			
Lajkonik			
Parlament Europejski			
mięsożernymi			
triathlonu			
nokdaun	knockdown		
S			
fortuna			
o Wojciecha Pszoniaka			
Alibaba i 40 rozbójników	Alibaba i czterdziestu rozbójników		
Kobe			
Diogenes z Synopy	Diogenes		
zerowy	0		
za rządów Leonida Breżniewa	za Breżniewa		
w 1922			
pod Lipskiem	Lipsk		
trzech	3		
gen			
w Nowym Jorku			
rotmistrz			
Leopold Tyrmand			
Orfeusz			
pełna			
w XX	20		
Paryż			
oziminy			
witaminy A	A		
Santa Maria			
skorpion			
Sapporo			
w lipcu			
dwie	2		
na literę A	na A	A	
Holendrzy	holenderskiej		
Buran			
habit			
przez Afrykę	Afryka		
na laurach			
mezozoik			
tak			
kolej transsyberyjska			
Eros			
Afryka			
litewskiej			
Jan Matejko			
Immanuel			
meteoryty			
tęczówka			
przeciwko muchom	muchom		
Morskie Oko			
termity			
beżowy			
cecha			
Charles de Gaulle	de Gaulle		
Lechowi Wałęsie	Wałęsie		
wielkie uderzenie	mocne uderzenie		
absolutorium			
Psyche			
kalwinem			
w Zachęcie	w gmachu Zachęty	Zachęta	
Kambodżę			
kameleon			
serce			
Kazimierz Junosza-Stępowski			
dalit			
Petersburga			
krzew			
w XIX	19		
Marcello Mastroianni			
nie			
Stentor			
o słowa			
w „Quo Vadis”			
nostryfikacja			
nie			
Tadeusz Kościuszko			
trzeciej	3		
nad Wisłą			
karawana			
ze snowboardem			
Józef Haller			
Stary Testament	Stary		
Wolfgang Amadeusz Mozart			
oksymoron			
włoskami			
panewka			
temperatury			
Morze Kaspijskie			
Belgii			
Sanhedryn			
w XVII	17		
Karol Marks	Marks		
Hiszpańskiej Socjalistycznej Partii Robotniczej			
Jarosława Iwaszkiewicza			
w pole			
obrót wokół własnej osi			
wiewiórkę			
Jan Henryk Dąbrowski			
Wiesław Rozłucki			
Jan Matejko			
sowy			
dwumasztowy			
Wacław Niżyński			
do 1991			
Ocean Atlantycki	Atlantyk		
z Holandii			
zmęczenie materiału			
funt brytyjski	funt szterling		
gaździna			
śpiewaczką operową			
we trzech	3		
Albania			
Mikołaj Rej	Rej		
I wojnę światową			
„Pigmalion”			
talk			
Iwan IV Groźny			
„Nowy wspaniały świat”			
tak			
idiom			
Jan Sebastian Bach	Bach		
nie			
trzy	3		
czarter			
Glücksburgowie	Schleswig-Holstein-Sonderburg-Glücksburg		
literacki			
Chlestakow			
Tuhaj-bej			
Bohdan Chmielnicki			
w Czechach			
Pius XII			
w Polsce			
Płowce			
choroba			
Rudyard Kipling	Kipling		
generał Alfred Jodl	Jodl		
Woodrow Wilson			
jeden raz	raz	1	
w sześć	6		
żurawie			
w XIX	19		
w XII	12		
A			
o mur graniczny	o mur		
dzięki echolokacji	echolokacja		
w XIII	13		
równolegle			
enklawa			
Jerzy Kulej			
Kartezjusz	René Descartes		
był mamutem	mamut		
rękawy			
Michaił Gorbaczow			
Austro-Węgry			
nie ma zapachu	jest bezwonny		
miecz			
Franz Lehár	Lehar		
elektrownia jądrowa			
w Knossos			
Aleksandr Sołżenicyn			
w 1901			
na generała de Gaulle'a	de Gaulle'a		
w Rzymie	Rzym		
etymologia			
dziewięćdziesiąt	90		
siedem	7		
w Rio de Janeiro			
wewnątrz			
szpilki			
Dzwon Zygmunta			
wojny punickie			
trzy	3		
relatywizm			
„Popioły”			
Morgana			
do Hiszpanii			
The Doors			
we wrześniu			
tak			
walne zgromadzenie			
myto			
Pol Pot			
Serena i Venus	Venus i Serena		
Elektra			
cztery	4		
Luwr	Louvre		
siano			
w Częstochowie			
w cukrzycy			
Michaił Barysznikow			
„Tygodnika Powszechnego”			
sygnały świetlne			
Marsa			
Otto von Bismarck			
Tom Hanks			
zwierzęta roślinożerne			
serafin			
żołądź			
Tuaregowie			
w XVII	17		
Władysław IV Waza			
Australię			
nie			
Manchester City			
tak			
w 1660			
S			
Bizancjum			
dzielnik			
tak			
Adam Słodowy			
w XIX	19		
Bolesław I Chrobry			
złoto			
Britney Spears			
przy ulicy Wiejskiej	przy Wiejskiej	Wiejska	
jego drugą naturą	drugą naturą człowieka		
Bezpartyjny Blok Wspierania Reform	BBWR		
w Magdeburgu			
w Świdniku			
tak			
Pałac Elizejski			
tak			
Loyola			
styczna			
pręcik			
trzy	3		
Raymond Chandler			
wiosną			
Oslo			
zebry			
w Afryce			
Maltę			
Capuleti i Montecchi	Montecchi i Capuleti	Kapuletów i Montekich	Montekich i Kapuletów
na Węgrzech			
Joanna Bator			
Benito Mussolini			
Humphrey Bogart	Bogart		
na terenie Rosji	w Rosji		
IQ			
Bajkał			
Rembrandt van Rijn			
Władysława II Jagiełły	Jagiełły		
glosa			
w „Panu Tadeuszu”	„Pan Tadeusz”		
tak			
boks			
czarny i biały	biały i czarny		
Wiślan			
medycynę			
dzieciobójstwo			
z trzciny cukrowej			
Molier	Jean Baptiste Poquelin		
dwutlenek węgla	CO2		
Biskupin			
czerwone serce			
tworzą jedną całość			
suchoty	gruźlica		
geminata			
w alkoholu			
trąbka Eustachiusza			
Zygmunt III Waza			
Robert Koch	Koch		
Władysław Reymont	Reymont		
białego			
w Warszawie			
w Wielkiej Brytanii	w Anglii		
greckim			
nogi	nogi roztańczone		
Milos Forman			
Kermit			
się śmieje ostatni			
Anita Lipnicka			
przeciwko gruźlicy	gruźlica		
kwas mlekowy			
1981			
w zbroję			
w Betanii			
w wosku			
króla Kornwalii Marka	Marka		
Jan			
z Polski			
Karol Szymanowski			
tak			
roślinożerne			
„Pianista”			
Marusia			
do glonojadów	glonojad		
liczenia			
wahadłowiec kosmiczny			
Okocim			
sześć	6		
tak			
jedna dziesiąta	10.01.2021	0,1	
ssaki			
zaćma			
Opel			
samica			
nad Białą			
powiatem			
Wojciech Kilar			
Monachium			
Malediwy			
klimatyzator			
Morskie Oko			
cenzor			
suweren			
do nieba			
w USA	w Stanach Zjednoczonych		
siostrą			
po stronie Ententy			
„Varius Manx”			
Gieorgij Malenkow			
w województwie lubuskim	w lubuskim		
Diesel			
Żeńcy			
w Nowej Zelandii			
byli braćmi	bracia		
Karol Młot			
Czarna Procesja			
liść			
Andrzej Wajda	Wajda		
Ateny			
banicja			
z Afryki			
św. Augustyn			
skupiające			
konkordat			
piechota			
do Włoch			
„Wesoła wdówka”			
„Forrest Gump”			
obyczaj			
Wilk			
6 stycznia			
Flamandowie			
Oceanu Atlantyckiego	Atlantyku		
z dynastii Piastów	z Piastów		
w kwietniu			
Gerda			
wody			
morski			
Most Karola	Karola VI		
klaustrofobia			
gryzoniem			
Danii			
Szeherezada			
Jezioro Solińskie			
z USA	ze Stanów Zjedoczonych		
z Rosji			
w Tatrach	Tatry		
Japonii			
Barbarossa			
Tadeusza Kościuszkę			
kwas nikotynowy			
Biblioteka Kongresu			
lob			
zawsze ujemną	ujemną		
z czterech	4	4	
Toruń			
był Hiszpanem	hiszpańskiej		
do ważek	ważki		
tak			
kartofle			
w 1772			
tak			
tak			
trzysta sześćdziesiąt	360		
90210			
z siedmiu			
we Włoszech	Włochy		
lewa			
Thomas Woodrow Wilson	Wilson		
nad Nogatem			
Pałac pod Blachą			
Zygmunta II Augusta			
w XVI	16		
Giovanni Lorenzo Bernini	Bernini		
tak			
bransoleta			
kameleon			
Wał Atlantycki			
podatek pośredni	pośredni		
Kazimierz Wielki			
trzy	3		
w Betlejem			
złotem			
Karol Szymanowski			
Katmandu			
w Londynie			
wzroku	oka	oczu	
Mikołajowi Rejowi	Rejowi		
„Niech żyje sztuka!”			
papież			
z Francji			
z Powstania Warszawskiego			
Pawlik	Bronisław Pawlik		
w 1993			
tak			
Ustawy norymberskie			
Bedřich Smetana	Smetana		
Cieśnina Gibraltarska			
Amsterdam			
Gabriel Narutowicz			
trzydzieści	30		
parking			
stonka ziemniaczana			
Pierre Beaumarchais			
w 1959			
Brytanii			
fosylizacja			
Piechota wybraniecka	Wybrańcy		
Wernyhora			
z Rivii	Rivia		
w liście winorośli	winorośli		
Jakobini			
natura			
balotaż			
ciekłą			
dodatni			
Pragi			
matematyką	cybernetyką		
Zygmunt II August			
był Francuzem	francuskiej		
w XVI	16		
Tatuś Muminka			
„Pan Tadeusz”			
w 1943			
hossa			
w 1926			
alfa, beta, gamma			
w Pakistanie i Indiach	w Indiach i Pakistanie		
nie			
lemiesz			
adiutant			
Maria i Marta	Marta i Maria		
lawa			
Appalachów			
Rubikon			
przed nutą			
wigwam			
nie			
akomodacja			
tak			
jajorodne			
„Niewolnica Isaura”			
osiemdziesiąta	80		
admirał Karl Dönitz	Dönitz		
hoplici			
Krystyna Chojnowska-Liskiewicz			
w Moskwie			
islamu			
w 1961			
Andrzej Wajda	Wajda		
nie			
siecznej			
„Rumcajs”			
z kaczką			
„Mesjasz”			
Bolesław II Śmiały			
w Chorwacji			
tak			
fotosynteza			
prorok Daniel	Daniel		
owca cała			
przed trzynastą	13		
na głowę			
celibat			
pięć	5		
w Polsce			
tak			
„Trybuna Ludu”			
większa			
trzydzieści dwa	32		
Mefistofeles	diabeł		
w Kalifornii			
do Indonezji			
w Azji	Azja		
barograf			
w rzucie oszczepem			
Biblioteka Narodowa			
w USA	w Stanach Zjednoczonych		
z wojskami Szwecji	Szwecji		
wywóz za granicę			
skurczowe			
tak			
oddział			
pod Maciejowicami			
sześć	6		
w Krakowie			
przez Hiszpanię i Portugalię	przez Portugalię i Hiszpanię		
Kinszasa			
stop			
w dziedzinie literatury	literatura		
w Berlinie			
dźwiękonaśladownictwo			
w trzeciej	3		
Jan Heweliusz			
w Leśnej Górze	Leśna Góra		
Marek Markiewicz			
tak			
Szkoła Główna Handlowa			
Wisła			
Lyndon B. Johnson	Johnson		
Jan Kochanowski			
regiony			
w Tatrach	Tatry		
lutnictwo			
korozja			
dożynki			
Oskar Kolberg			
Wojciech			
dorsz	dorszowate		
koniugacja			
gogle			
w Sarajewie			
Jacques Chirac			
Kazimierz Wielki			
Ludwig van Beethoven	Beethoven		
Anna Jagiellonka			
ławica			
tak			
w Iraku			
Gotfryd z Bouillon			
lewitacja			
nitowaną			
kwarcu			
z angielskiego			
satelita			
trzy	3		
pijawki			
wybrzeże	brzeg		
Ameryki Południowej	Ameryki Płd.		
Jankiel			
kafar			
Baku			
tak			
za siódmą	za siedmioma	7	
w 1920			
Zygmunta I Starego			
nie			
Alicja Majewska			
w Ameryce Południowej	Ameryka Płd.		
na Morzu Śródziemnym			
jednokomórkowe	jedno		
Jerzy Kawalerowicz			
ptakiem			
Loara			
Kair			
z Włoch			
dwunastościan			
Minecraft			
kokosa			
cztery	4		
400 metrów	400 m		
czek			
Szwajcarii			
Roger Federer			
faul			
„Fidelio”			
Uzi			
w około trzy sekundy	w 3 sekundy	3 s	
z sześciu	6		
z dwóch	z dwu	2	
tak			
z Rosją i Chinami	z Chinami i Rosją		
Fryderyka Chopina	Chopina		
instrumenty perkusyjne	perkusyjne		
żadnego			
Oscar			
została otruta			
nie			
serca			
Albanii			
Anna			
w Rumunii			
Szerpowie			
Hawajów			
pięć	5		
Kmicic			
ABBA			
jolka			
w Wielkiej Brytanii	w Anglii		
nie			
Bosfor			
wodór			
Jan Paweł			
w Zamku Królewskim	na zamku		
diadochowie			
szyprowie			
alfabet Braille'a	Braille'a		
Lasek Buloński			
japońska			
kurza ślepota			
nie			
termistor			
Lew Tołstoj			
w powstaniu styczniowym	styczniowym		
najwyższe prawo			
deklinacja			
